Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03 00:00:00-05:00,14.485564617237898,14.617972984662133,13.876480793220699,14.154540061950684,25109700,0.0,0.0
2000-01-04 00:00:00-05:00,13.876482237885407,13.9426876407323,13.598422940206984,13.624905586242676,20235300,0.0,0.0
2000-01-05 00:00:00-05:00,13.532221224760482,13.638146969819598,13.174716380094955,13.346847534179688,21056100,0.0,0.0
2000-01-06 00:00:00-05:00,13.346842751584473,13.677864829127111,13.280637366282335,13.492493629455566,19633500,0.0,0.0
2000-01-07 00:00:00-05:00,13.664619803024614,14.6047252681767,13.664619803024614,14.51203727722168,23930700,0.0,0.0
2000-01-10 00:00:00-05:00,14.247224807739258,14.30018765756897,13.902960222636498,14.247224807739258,20142900,0.0,0.0
2000-01-11 00:00:00-05:00,14.207499532468722,14.353147949666836,13.902957745128575,14.03536605834961,14829900,0.0,0.0
2000-01-12 00:00:00-05:00,14.022127025065574,14.141295243408907,13.783790588378906,13.783790588378906,12255000,0.0,0.0
2000-01-13 00:00:00-05:00,13.982401138417025,14.008883766915956,13.770547383874757,13.797027587890625,15063000,0.0,0.0
2000-01-14 00:00:00-05:00,13.558697979084215,13.96916801572407,13.558697979084215,13.664626121520996,18936600,0.0,0.0
2000-01-18 00:00:00-05:00,13.386563490421175,14.075090181272715,13.360080855374848,13.889719009399414,19326600,0.0,0.0
2000-01-19 00:00:00-05:00,13.823517031129894,13.942685281398255,13.558697889038783,13.571940422058105,14459700,0.0,0.0
2000-01-20 00:00:00-05:00,13.65138595088467,13.664626059447519,13.240915916109431,13.426289558410645,17214300,0.0,0.0
2000-01-21 00:00:00-05:00,13.545453524088359,13.545453524088359,13.148226148015388,13.22767162322998,20857500,0.0,0.0
2000-01-24 00:00:00-05:00,13.439535813403433,13.439535813403433,12.181649765639628,12.578877449035645,23399700,0.0,0.0
2000-01-25 00:00:00-05:00,12.671554384056044,12.962853676677707,12.60534900753506,12.949613571166992,19211400,0.0,0.0
2000-01-26 00:00:00-05:00,12.94961591616208,13.14822965720751,12.711279426907563,13.121747016906738,13615200,0.0,0.0
2000-01-27 00:00:00-05:00,12.989331550192098,13.029054276645285,12.261082373377944,12.525898933410645,21969900,0.0,0.0
2000-01-28 00:00:00-05:00,12.472938654374103,12.472938654374103,11.334219455261648,11.678483963012695,42088200,0.0,0.0
2000-01-31 00:00:00-05:00,11.559319192416048,11.757932924244502,11.466633592390778,11.599041938781738,23918100,0.0,0.0
2000-02-01 00:00:00-05:00,11.65200417722146,12.605350039661868,11.638764070626646,12.433218955993652,25077000,0.0,0.0
2000-02-02 00:00:00-05:00,12.472940136858604,12.737759206948862,12.274326440411812,12.367012023925781,18103800,0.0,0.0
2000-02-03 00:00:00-05:00,12.367012023925781,12.45970003192335,11.916821786807583,12.367012023925781,20997000,0.0,0.0
2000-02-04 00:00:00-05:00,12.274330779060984,12.274330779060984,11.86386313614276,11.930066108703613,19649100,0.0,0.0
2000-02-07 00:00:00-05:00,11.99626857791908,11.99626857791908,11.572558504312527,11.810894966125488,18131100,0.0,0.0
2000-02-08 00:00:00-05:00,12.141924670589988,12.64507802348403,12.049236612568789,12.605355262756348,25728300,0.0,0.0
2000-02-09 00:00:00-05:00,12.711278486016582,12.737761124357105,12.141919945325077,12.247845649719238,24649800,0.0,0.0
2000-02-10 00:00:00-05:00,12.208123413255587,12.367014400952987,12.03599231807809,12.075715065002441,13774800,0.0,0.0
2000-02-11 00:00:00-05:00,12.16840222513441,12.181644758794972,11.784417238665618,11.877102851867676,14450100,0.0,0.0
2000-02-14 00:00:00-05:00,12.00951042168371,12.472943305969238,11.969787672301642,12.472943305969238,17410800,0.0,0.0
2000-02-15 00:00:00-05:00,12.06247883871024,12.287572860717773,11.652008705430909,12.287572860717773,29136300,0.0,0.0
2000-02-16 00:00:00-05:00,11.969784970357075,11.969784970357075,11.16209005673775,11.17533016204834,40757400,0.0,0.0
2000-02-17 00:00:00-05:00,11.21505231647608,11.334220531495838,10.16902101501938,10.248466491699219,74300100,0.0,0.0
2000-02-18 00:00:00-05:00,10.274948952745381,10.486802745503477,10.010129893435137,10.116057395935059,58183200,0.0,0.0
2000-02-22 00:00:00-05:00,10.433838679259747,10.447078782102606,9.904201228901114,10.195502281188965,37027800,0.0,0.0
2000-02-23 00:00:00-05:00,10.261709605827987,10.274952138814033,9.904205462042322,9.957169532775879,38623200,0.0,0.0
2000-02-24 00:00:00-05:00,9.957167585083239,10.142539978027344,9.202435482911103,10.142539978027344,58295700,0.0,0.0
2000-02-25 00:00:00-05:00,9.387809447176584,9.599664511888411,9.24215977207338,9.427532196044922,50725500,0.0,0.0
2000-02-28 00:00:00-05:00,9.440777298062793,9.943931914527306,9.440777298062793,9.785040855407715,53508300,0.0,0.0
2000-02-29 00:00:00-05:00,10.155782536050145,10.539768080850122,10.155782536050145,10.327914237976074,51591600,0.0,0.0
2000-03-01 00:00:00-05:00,10.566253071220792,10.59273571665356,10.063097961027037,10.380879402160645,30497400,0.0,0.0
2000-03-02 00:00:00-05:00,11.175334090168946,11.201816734582419,10.685420927669046,10.71190357208252,46628100,0.0,0.0
2000-03-03 00:00:00-05:00,11.04292515423155,11.294501777641308,10.910516787881846,11.148853302001953,32372400,0.0,0.0
2000-03-06 00:00:00-05:00,11.148850693844988,11.162090800037255,10.301430558895646,10.698657989501953,31480800,0.0,0.0
2000-03-07 00:00:00-05:00,10.513289666737327,10.513289666737327,9.983651938219294,10.076338768005371,29174100,0.0,0.0
2000-03-08 00:00:00-05:00,10.0233756811039,10.447085299604819,9.665870860965333,10.235231399536133,30056100,0.0,0.0
2000-03-09 00:00:00-05:00,10.380874877958158,10.473562884335166,9.930684648711106,10.367634773254395,23834700,0.0,0.0
2000-03-10 00:00:00-05:00,10.539766271103494,10.539766271103494,10.04985328286673,10.155780792236328,21016500,0.0,0.0
2000-03-13 00:00:00-05:00,9.798275981839932,10.155780638670459,9.71883050254426,10.102816581726074,23183700,0.0,0.0
2000-03-14 00:00:00-05:00,9.957166445245614,10.341151899210317,9.811516205073328,10.116057395935059,29955000,0.0,0.0
2000-03-15 00:00:00-05:00,10.062497125088804,11.017042306915409,9.876890915216913,10.924240112304688,44010000,0.02,0.0
2000-03-16 00:00:00-05:00,11.096589663679856,11.78598271652247,10.950755537535814,11.587119102478027,59148000,0.0,0.0
2000-03-17 00:00:00-05:00,11.573860157473794,11.931814595333808,11.481057964243606,11.825753211975098,37911900,0.0,0.0
2000-03-20 00:00:00-05:00,11.83901130840983,11.83901130840983,11.321966057043598,11.693177223205566,20307300,0.0,0.0
2000-03-21 00:00:00-05:00,11.759466177292996,12.011359214782715,11.560602614134341,12.011359214782715,23563800,0.0,0.0
2000-03-22 00:00:00-05:00,11.98484157199808,11.98484157199808,11.454539620946854,11.74620532989502,29890500,0.0,0.0
2000-03-23 00:00:00-05:00,11.534089512295193,11.573862234751383,11.348482664988195,11.454544067382812,21076500,0.0,0.0
2000-03-24 00:00:00-05:00,11.547341808054723,11.812493997651178,11.45453963408599,11.772721290588379,23858700,0.0,0.0
2000-03-27 00:00:00-05:00,11.600380024680767,11.772727706704282,11.507575372600272,11.75947093963623,17324700,0.0,0.0
2000-03-28 00:00:00-05:00,11.573866587464458,11.865532519321803,11.560609817504883,11.560609817504883,17392800,0.0,0.0
2000-03-29 00:00:00-05:00,11.772724242366985,12.594694536935473,11.759467479199978,12.462117195129395,40790100,0.0,0.0
2000-03-30 00:00:00-05:00,12.674240950627027,12.886361315364429,12.488634114272934,12.51515007019043,34712400,0.0,0.0
2000-03-31 00:00:00-05:00,12.568182181851693,12.581438948814656,11.772727613380068,11.984848022460938,27162000,0.0,0.0
2000-04-03 00:00:00-04:00,12.011362914266797,13.151515170053063,12.011362914266797,12.979165077209473,35807100,0.0,0.0
2000-04-04 00:00:00-04:00,13.08522263765335,13.42992029442903,12.196966185713974,12.72726821899414,41027400,0.0,0.0
2000-04-05 00:00:00-04:00,12.581441056574553,12.75379119364023,12.210229671610579,12.356063842773438,21198000,0.0,0.0
2000-04-06 00:00:00-04:00,12.541662083746775,12.992421142228963,12.46211665313626,12.96590518951416,21762600,0.0,0.0
2000-04-07 00:00:00-04:00,12.992422633935703,13.15151351342253,12.859845282673898,13.045452117919922,12039300,0.0,0.0
2000-04-10 00:00:00-04:00,13.045454964876878,13.509470940488741,12.9393935462281,13.482954978942871,16563000,0.0,0.0
2000-04-11 00:00:00-04:00,13.337120574970314,13.469697952612522,13.045454713719836,13.443181991577148,16066200,0.0,0.0
2000-04-12 00:00:00-04:00,13.456434532795479,13.774616255167263,13.164768763132638,13.244314193725586,21729900,0.0,0.0
2000-04-13 00:00:00-04:00,13.2178017713976,13.2178017713976,12.621210882605311,12.74052906036377,23653500,0.0,0.0
2000-04-14 00:00:00-04:00,12.303028671012434,12.50189229407586,11.666665077209473,11.666665077209473,28118100,0.0,0.0
2000-04-17 00:00:00-04:00,11.693180402119953,11.958332694339331,10.977271397908527,11.454544067382812,28981500,0.0,0.0
2000-04-18 00:00:00-04:00,11.454548843599667,11.945078482584632,11.26894191889993,11.428032875061035,22983600,0.0,0.0
2000-04-19 00:00:00-04:00,11.481059450683393,11.772725258264119,11.401514009749175,11.653407096862793,18765900,0.0,0.0
2000-04-20 00:00:00-04:00,11.693180658330576,12.2897715082454,11.693180658330576,12.23674201965332,18271200,0.0,0.0
2000-04-24 00:00:00-04:00,12.28977332449263,12.859848300592898,12.196971098858096,12.48863697052002,16901100,0.0,0.0
2000-04-25 00:00:00-04:00,12.316289615676615,12.886364607014416,12.210228192448845,12.660984992980957,18114900,0.0,0.0
2000-04-26 00:00:00-04:00,12.767042168242575,12.886360319347647,12.36931499789234,12.462117195129395,15606000,0.0,0.0
2000-04-27 00:00:00-04:00,12.223482826854514,12.395832912963941,11.984846486888584,12.23674201965332,16545000,0.0,0.0
2000-04-28 00:00:00-04:00,12.051130226204503,12.157191587428104,11.74620532989502,11.74620532989502,15037800,0.0,0.0
2000-05-01 00:00:00-04:00,11.958333467635173,12.475378893000832,11.918560742607045,12.289772033691406,15327000,0.0,0.0
2000-05-02 00:00:00-04:00,12.15719872737785,12.263257723356746,12.02462134110201,12.223484992980957,14464500,0.0,0.0
2000-05-03 00:00:00-04:00,11.50757758887362,11.560609522428804,11.189395697683242,11.335229873657227,31371900,0.0,0.0
