Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03 00:00:00-05:00,12.279453097394928,12.617419696405797,12.279453097394928,12.520857810974121,5055000,0.0,0.0
2000-01-04 00:00:00-05:00,12.520860830942791,12.810546557108562,12.35992431640625,12.35992431640625,6181400,0.0,0.0
2000-01-05 00:00:00-05:00,12.359921986820135,12.92319968153199,12.359921986820135,12.64960765838623,6398600,0.0,0.0
2000-01-06 00:00:00-05:00,13.019757332005165,13.454285697844645,13.019757332005165,13.293349266052246,5140600,0.0,0.0
2000-01-07 00:00:00-05:00,13.583039546488038,14.194598199055035,13.583039546488038,13.727882385253906,6360200,0.0,0.0
2000-01-10 00:00:00-05:00,13.727881978352865,14.049754943847656,13.261166178385418,13.277259826660156,3682200,0.0,0.0
2000-01-11 00:00:00-05:00,13.277257281571186,13.69569205650555,13.068039894104004,13.068039894104004,3945600,0.0,0.0
2000-01-12 00:00:00-05:00,13.164600120618324,13.470379341023886,13.164600120618324,13.293349266052246,3401000,0.0,0.0
2000-01-13 00:00:00-05:00,13.406006031835865,13.743972570453575,13.406006031835865,13.438193321228027,3129400,0.0,0.0
2000-01-14 00:00:00-05:00,13.438196807705252,13.615226945291788,13.357728563347735,13.373822212219238,3044400,0.0,0.0
2000-01-18 00:00:00-05:00,13.409455090500089,13.409455090500089,12.92360526838052,12.939800262451172,4054200,0.1625,0.0
2000-01-19 00:00:00-05:00,12.939797192320926,13.134137075059162,12.77784729003906,12.777847290039062,3424600,0.0,0.0
2000-01-20 00:00:00-05:00,12.777851014934106,12.939800964426299,12.194831196762207,12.211026191711426,4279200,0.0,0.0
2000-01-21 00:00:00-05:00,12.211016959439482,12.42155173460223,11.822337374523636,12.275796890258789,5000000,0.0,0.0
2000-01-24 00:00:00-05:00,12.2434110181085,12.2434110181085,11.676586433936809,11.741366386413574,5385600,0.0,0.0
2000-01-25 00:00:00-05:00,11.660389722589093,11.660389722589093,11.028785279282184,11.304100036621094,6084200,0.0,0.0
2000-01-26 00:00:00-05:00,11.304098980814757,11.838533459850412,11.23931904396195,11.644193649291992,4188200,0.0,0.0
2000-01-27 00:00:00-05:00,11.644189831919622,11.806139620958838,11.4012651483608,11.547019958496094,3340800,0.0,0.0
2000-01-28 00:00:00-05:00,11.547028092132216,11.708977995247675,11.271713256835936,11.271713256835938,4851600,0.0,0.0
